en_common_name,pt_common_name,work_species,work_author,variety,family,growth_form_1,growth_form,life_cycle,stratum,light_demand,initial_harvest_yrs,max_initial_harvest_yrs,production_longevity_yrs,apical_pruning_yrs,deciduousness,height_m,estage,function,pollination_syndrome,dispersal_syndrome,threat_status,establishment,habitat,spacing,occurrence,
,,Trichilia magnifoliola,,,Meliaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-MG,
,,Trichilia micropetala,,,Meliaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta de Terra Firme|Floresta de Várzea,,BR-AM|BR-AP|BR-PA,
,,Trichilia stellato-tomentosa,,,Meliaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual,,BR-MS|BR-MT,
,,Disciphania sagittaria,,,Menispermaceae,Liana/volúvel/trepadeira,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Emmotum floribundum,,,Metteniusaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta de Terra Firme,,BR-AC|BR-AM|BR-MT,
,,Metzgeria hegewaldii,,,Metzgeriaceae,Talosa,,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial),,BR-RS,
,,Microtea bahiensis,,,Microteaceae,subshrub,subshrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Restinga,,BR-BA,
,,Microtea papilosa,,,Microteaceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Cerrado (lato sensu),,BR-BA,
,,Macropeplus friburgensis,,,Monimiaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Mollinedia acutissima,,,Monimiaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Mollinedia dolichotricha,,,Monimiaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-MG,
,,Mollinedia eugeniifolia,,,Monimiaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SC,
,,Mollinedia glaziovii,,,Monimiaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Mollinedia howeana,,,Monimiaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SC,
,,Mollinedia jorgearum,,,Monimiaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual,,BR-MG,
,,Mollinedia stenophylla,,,Monimiaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Dorstenia conceptionis,,,Moraceae,herb,forb,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Dorstenia fischeri,,,Moraceae,herb,forb,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Dorstenia hildegardis,,,Moraceae,herb,forb,,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Ficus bonijesulapensis,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Cerrado (lato sensu),,BR-BA|BR-GO|BR-MG,
,,Ficus carautana,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ciliar ou Galeria,,BR-MS|BR-MT,
,,Ficus diamantina,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre,,BR-BA,
,,Ficus duartei,,,Moraceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-MA|BR-RJ,
,,Ficus hatschbachii,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Floresta de Igapó,,BR-MT|BR-RO,
,,Ficus holosericea,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-ES|BR-MG|BR-RJ,
,,Ficus latipedunculata,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Ficus laureola,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-MG,
,,Maclura brasiliensis,,,Moraceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),native,Floresta Estacional Semidecidual|Restinga,,BR-RJ,
,,Sorocea carautana,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Sorocea longipedicellata,,,Moraceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Iryanthera campinae,,,Myristicaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campinarana,,BR-AM|BR-RR,
,,Iryanthera dialyandra,,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta de Terra Firme,,BR-AM,
,bicuiba,Virola bicuhyba,(Schott) Warb.,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,,Virola crebrinervia,,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta de Terra Firme,,BR-AM|BR-AP|BR-PA|BR-RO,
,,Virola guggenheimii,,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta de Terra Firme,,BR-AM|BR-AP|BR-PA,
,,Virola malmei,,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Cerrado (lato sensu)|Floresta Ciliar ou Galeria,,BR-AC|BR-MT|BR-PA,
,,Virola parvifolia,,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Campinarana,,BR-AM,
,,Virola surinamensis,,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),native,Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Várzea,,BR-AC|BR-AM|BR-AP|BR-CE|BR-MA|BR-MT|BR-PA|BR-PI|BR-RO|BR-RR|BR-TO,
,,Virola urbaniana,,,Myristicaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Palmeiral,,BR-BA|BR-DF|BR-GO|BR-MA|BR-MT|BR-TO,
,,Accara elegans,,,Myrtaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo Limpo|Campo rupestre,,BR-MG,
,,Calycolpus legrandii,,,Myrtaceae,shrub,shrub,,,,,,,,,,,,,,Vulnerável (VU),endemic,Restinga,,BR-AL|BR-BA|BR-SE,
,,Campomanesia anemonea,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-BA|BR-ES,
,,Campomanesia blanchetiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Campomanesia costata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Cerrado (lato sensu),,BR-BA,
,,Campomanesia espiritosantensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Campomanesia hirsuta,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Campomanesia macrobracteolata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-ES|BR-RJ,
,,Campomanesia sepalifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual,,BR-ES,
,,Curitiba prismatica,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila Mista,,BR-PR|BR-SC,
,,Eugenia altissima,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-BA,
,,Eugenia amorimii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Eugenia barrana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-MG,
,,Eugenia belemitana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta de Terra Firme,,BR-PA,
,,Eugenia binata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Eugenia blanchetiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu),,BR-BA,
,,Eugenia blanda,,,Myrtaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Cerrado (lato sensu),,BR-MG,
,,Eugenia botequimensis,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Eugenia brachysepala,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Eugenia brunoi,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Eugenia caatingicola,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Estacional Decidual,,BR-BA|BR-PI,
,,Marlierea choriophylla,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Eugenia cinerascens,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Eugenia circumdata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Eugenia corcovadensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Eugenia culicina,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PE,
,,Eugenia cymatodes,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES,
,,Eugenia denigrata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta de Várzea,,BR-AP,
,,Eugenia disperma,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Eugenia espinhacensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Floresta Estacional Semidecidual,,BR-MG,
,,Eugenia farneyi,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual,,BR-RJ,
,,Eugenia fissurata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Eugenia gastropogena,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Restinga,,BR-RJ,
,,Eugenia glabrescens,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Cerrado (lato sensu),,BR-MT,
,,Eugenia goiapabana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Neomitranthes langsdorffii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES|BR-RJ,
,,Eugenia hatschbachii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Cerrado (lato sensu),,BR-MT,
Paulista cherry,cereja-paulista,Eugenia hermesiana,Mattos,,Myrtaceae,tree,tree,perennial,,,,,,,,3,,human food,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Eugenia inversa,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-ES,
,,Eugenia ischnosceles,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-SP,
,,Eugenia itacarensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA,
,,Eugenia itaguahiensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-RJ,
,,Eugenia itajurensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-MG,
,,Eugenia janeirensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-RJ,
,,Eugenia joenssonii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-SC,
,,Eugenia lacistema,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA,
,,Eugenia lagoensis,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Cerrado (lato sensu)|Floresta Estacional Decidual,,BR-MG,
,,Eugenia leonorae,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-MG|BR-RJ,
,,Eugenia longifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Eugenia longipetiolata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Eugenia cambucae,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Eugenia macahensis,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,aracatinga,Eugenia macrobracteolata,Mattos,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-PR|BR-RJ|BR-SC|BR-SP,
,,Eugenia malacantha,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-RJ|BR-SC|BR-SP,
,,Eugenia marambaiensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Restinga,,BR-RJ,
,,Eugenia mattosii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SC,
,,Eugenia membranifolia,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-SP,
,,Eugenia mollicoma,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Eugenia moonioides,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MG|BR-RJ,
,,Eugenia myrciariifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Semidecidual,,BR-PR,
,,Eugenia myrobalana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta de Várzea,,BR-AM,
,,Eugenia neolaurifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-RJ,
,,Neomitranthes riedeliana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Eugenia neotristis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-PR|BR-SC,
,,Eugenia ochracea,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Estacional Perenifólia|Floresta Estacional Semidecidual,,BR-ES,
,,Eugenia pachyclada,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-SC,
,,Eugenia pantagensis,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Cerrado (lato sensu)|Floresta Estacional Semidecidual,,BR-BA|BR-ES|BR-MG|BR-RS|BR-SP,
,,Eugenia percrenata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta de Terra Firme,,BR-PA|BR-RO,
,,Eugenia persicifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES,
,,Eugenia peruibensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Eugenia pithecocephala,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Eugenia pruinosa,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,,BR-ES|BR-PR|BR-RJ|BR-SC|BR-SP,
,,Eugenia pseudomalacantha,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SC,
,,Eugenia pulcherrima,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
,,Eugenia regia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-SP,
,,Eugenia reitziana,,,Myrtaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo Limpo,,BR-SC,
,uvaia-costada-da-restinga,Eugenia rotundicosta,D.Legrand,,Myrtaceae,tree,tree,perennial,,,,,,,evergreen,,,human food,,,Em Perigo (EN),endemic,Floresta Ombrófila Mista,,BR-RS|BR-SC,
,,Eugenia rugosissima,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Eugenia ruschiana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Eugenia salacifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,,,BR-ES|BR-MG,
,,Eugenia sclerocalyx,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-PR|BR-SC,
,,Eugenia sessilifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-BA,
,,Eugenia sobraliana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Eugenia sulcatifolia,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-SP,
,,Eugenia tenuipedunculata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-MG,
,,Eugenia theodorae,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Cerrado (lato sensu)|Floresta Estacional Semidecidual,,BR-MG,
,,Eugenia tumescens,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PE,
,,Eugenia valsuganana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES,
,,Eugenia vattimoana,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,,BR-MG|BR-RJ,
,,Eugenia villaenovae,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-ES|BR-RJ,
,,Eugenia xanthoxyloides,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Myrceugenia bananalensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Criticamente em Perigo (CR),endemic,Floresta Ciliar ou Galeria,,BR-DF|BR-GO,
,,Myrceugenia bracteosa,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo de Altitude|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP,
,,Myrceugenia brevipedicellata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Floresta Ombrófila Mista,,BR-MG|BR-PR|BR-SP,
,,Myrceugenia foveolata,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ|BR-RS|BR-SC,
,,Myrceugenia franciscensis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-MG|BR-PR|BR-SP,
,,Myrceugenia gertii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-PR|BR-SP,
,,Myrceugenia hamoniana,,,Myrtaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),,BR-SC|BR-SP,
,,Myrceugenia hatschbachii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila Mista,,BR-PR,
,,Myrceugenia hoehnei,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila Mista,,BR-MG|BR-PR|BR-SC|BR-SP,
,,Myrceugenia kleinii,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-BA|BR-PR|BR-SC|BR-SP,
,,Myrcia almasensis,,,Myrtaceae,shrub,shrub,,,,,,,,,,,,,,Em Perigo (EN),endemic,Campo rupestre|Cerrado (lato sensu),,BR-BA,
,,Myrcia amplexicaulis,,,Myrtaceae,tree,tree,perennial,,,,,,,,,,,,,Em Perigo (EN),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-RJ,
,,Calyptranthes aromatica,,,Myrtaceae,Arbusto|Árvore,,,,,,,,,,,,,,,Vulnerável (VU),endemic,Floresta Ombrófila (= Floresta Pluvial),,BR-RJ,
